ts,ticker,model,n,errors,error_rate,ttft_p50,ttft_p95,ttft_p99,total_p50,total_p95,total_p99,tok_per_sec,provider,date,hour_utc,ttft_tail_ratio
2026-08-04T23:16:05.957670+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,218.8,225.9,225.9,372.8,410.3,410.3,126.0,groq,2026-08-04,23,1.032
2026-08-04T23:16:10.121860+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,110.6,124.6,124.6,224.6,244.4,244.4,229.9,groq,2026-08-04,23,1.127
2026-08-04T23:16:15.162732+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,242.7,362.3,362.3,307.0,446.6,446.6,235.9,groq,2026-08-04,23,1.493
2026-08-04T23:17:18.702006+00:00,CBRS,gpt-oss-120b,8,2,0.25,185.7,200.3,200.3,202.2,223.7,223.7,523.5,cerebras,2026-08-04,23,1.079
2026-08-05T03:28:02.096637+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,116.5,223.7,223.7,304.9,416.1,416.1,137.9,groq,2026-08-05,3,1.92
2026-08-05T03:28:06.432389+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,104.8,215.2,215.2,234.8,299.3,299.3,219.8,groq,2026-08-05,3,2.053
2026-08-05T03:28:11.270593+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,195.7,304.2,304.2,278.2,372.9,372.9,246.3,groq,2026-08-05,3,1.554
2026-08-05T03:29:15.245952+00:00,CBRS,gpt-oss-120b,8,2,0.25,185.6,369.7,369.7,210.7,375.9,375.9,356.2,cerebras,2026-08-05,3,1.992
2026-08-05T06:38:42.922743+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,102.3,266.0,266.0,358.9,441.9,441.9,134.1,groq,2026-08-05,6,2.6
2026-08-05T06:38:46.940569+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,96.6,127.5,127.5,206.4,261.9,261.9,230.9,groq,2026-08-05,6,1.32
2026-08-05T06:38:53.519982+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,162.7,1172.5,1172.5,231.8,1238.6,1238.6,169.5,groq,2026-08-05,6,7.207
2026-08-05T06:38:55.734818+00:00,QWEN,qwen/qwen3-32b,6,6,1.0,,,,,,,,groq,2026-08-05,6,
2026-08-05T06:39:59.269506+00:00,CBRS,gpt-oss-120b,8,2,0.25,178.4,191.0,191.0,196.1,215.4,215.4,478.0,cerebras,2026-08-05,6,1.071
2026-08-05T09:44:53.077750+00:00,GROQ,llama-3.3-70b-versatile,8,0,0.0,258.4,265.0,265.0,417.5,483.1,483.1,112.3,groq,2026-08-05,9,1.026
2026-08-05T09:44:57.113067+00:00,L8B,llama-3.1-8b-instant,8,0,0.0,147.9,269.1,269.1,247.9,386.1,386.1,169.1,groq,2026-08-05,9,1.819
2026-08-05T09:45:00.965645+00:00,OSS,openai/gpt-oss-120b,8,0,0.0,180.4,246.5,246.5,256.5,324.8,324.8,287.0,groq,2026-08-05,9,1.366
2026-08-05T09:46:04.177390+00:00,CBRS,gpt-oss-120b,8,2,0.25,206.1,301.1,301.1,221.0,318.8,318.8,422.6,cerebras,2026-08-05,9,1.461
